from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	6.88674649999944
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	6.89391500262983
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	6.84163067409771
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	6.81470779705327
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	6.78568712358459
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	6.43385442751847
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	6.46192144404194
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	6.72618163749459
1081	1100	JAX00243118	JAX00243212	20	17315373	17739246	chr1	6.6910630403812
1101	1120	JAX00243213	JAX00243269	20	17742752	18123873	chr1	6.55420507740674
1121	1140	JAX00243271	JAX00190945	20	18135997	18454027	chr1	6.56355039412457
1141	1160	JAX00243329	JAX00190952	20	18457577	18719231	chr1	6.72602684818701
1161	1180	JAX00243387	JAX00243430	20	18749697	18966677	chr1	6.73996170030842
1181	1200	JAX00243437	JAX00243486	20	19019130	19443012	chr1	6.74910936359911
1201	1220	JAX00001227	UNC222054	20	19445165	19707165	chr1	6.80370272805055
1221	1240	JAX00001247	JAX00243588	20	19722593	19863627	chr1	6.8031087166628
1241	1260	JAX00001257	JAX00001274	20	19867877	20064029	chr1	6.80212616939716
1261	1280	UNC227355	JAX00001294	20	20074019	20341218	chr1	6.80076512516673
1281	1300	JAX00243693	JAX00243731	20	20367232	20541966	chr1	6.79950295285417
1301	1320	JAX00243741	JAX00243797	20	20561596	20793448	chr1	6.79858598239163
1321	1340	JAX00243802	UNC241230	20	20806285	20938029	chr1	6.81614017618342
1341	1360	JAX00243846	UNC244201	20	20942963	21116072	chr1	6.82106130330194
1361	1380	JAX00243889	JAX00001366	20	21117333	21306616	chr1	6.79834659489426
1381	1400	JAX00243950	JAX00243994	20	21377571	21589062	chr1	6.6757741546261
1401	1420	JAX00001388	JAX00244053	20	21589916	21719729	chr1	6.66677288521528
1421	1440	JAX00244057	JAX00244094	20	21724793	21983887	chr1	6.71600970623312
1441	1460	JAX00244096	JAX00244129	20	21999637	22262727	chr1	6.72308738431938
1461	1480	JAX00244130	UNC264385	20	22262996	22421498	chr1	6.65340174048484
1481	1500	UNC264416	JAX00244210	20	22475222	22680881	chr1	6.64647753909273
1501	1520	JAX00001469	JAX00001477	20	22718471	22819589	chr1	6.56688371148443
1521	1540	JAX00244248	JAX00244290	20	22841527	23075605	chr1	6.43230857603473
1541	1560	JAX00244291	JAX00244326	20	23075817	23270174	chr1	6.41506779212413
1561	1580	UNC276290	JAX00244359	20	23293039	23484110	chr1	6.40100098783952
1581	1600	UNC278894	JAX00244396	20	23484917	23658640	chr1	6.39665086965493
1601	1620	JAX00001539	UNC283190	20	23682723	23784570	chr1	6.39198477054291
1621	1640	JAX00244437	JAX00244469	20	23816672	23958732	chr1	6.39125211461215
1641	1660	JAX00001563	JAX00001575	20	23973025	24147946	chr1	6.53406659800077
1661	1680	JAX00001577	JAX00244590	20	24149191	24326205	chr1	6.56954939720459
1681	1700	JAX00244591	JAX00244642	20	24326238	24515849	chr1	6.57144770511664
1701	1720	UNC295267	JAX00001615	20	24516479	24672104	chr1	6.6090719582703
1721	1740	UNC298468	JAX00244724	20	24739294	24935351	chr1	6.65125705374915
1741	1760	JAX00244725	UNC304098	20	24935730	25133192	chr1	6.65459419281303
1761	1780	JAX00001646	JAX00191084	20	25133724	25360787	chr1	6.65737359140509
1781	1800	JAX00244799	JAX00244845	20	25360850	25501465	chr1	6.66352349308615
1801	1820	JAX00244848	JAX00001692	20	25508556	25754788	chr1	6.72101017666873
1821	1840	UNC311195	JAX00188692	20	25757843	25997237	chr1	6.65133455716315
1841	1860	UNC315252	JAX00245023	20	25997697	26170765	chr1	6.63314768610318
1861	1880	JAX00001724	JAX00245052	20	26171240	26420298	chr1	6.53516518043799
1881	1900	JAX00001743	JAX00245090	20	26435495	26690674	chr1	6.54711606455541
1901	1920	JAX00245093	JAX00245137	20	26692385	26908686	chr1	6.61845719022249
1921	1940	JAX00001781	JAX00245186	20	26937623	27403088	chr1	6.6402537613845
1941	1960	UNC337071	UNC340151	20	27421620	27730678	chr1	6.64032107743787
1961	1980	JAX00001840	JAX00245257	20	27739870	28023650	chr1	6.64085245552034
1981	2000	JAX00245264	JAX00001905	20	28047832	28616227	chr1	6.6220043663993
2001	2020	JAX00001906	JAX00001932	20	28616775	28958204	chr1	6.29874316462005
2021	2040	JAX00001933	JAX00245405	20	28961078	29342614	chr1	6.01680126093707
2041	2060	JAX00001962	JAX00001993	20	29354689	29771557	chr1	6.08579042537737
2061	2080	JAX00245460	JAX00245507	20	29808891	30134369	chr1	6.15325882372512
2081	2100	JAX00002024	UNC369354	20	30183383	30480686	chr1	6.26621039953944
2101	2120	JAX00002048	UNC372374	20	30487284	30815119	chr1	6.25278229144978
2121	2140	JAX00245580	JAX00191216	20	30816013	31043591	chr1	6.1290976260076
2141	2160	JAX00245613	JAX00245656	20	31054582	31179916	chr1	5.9963509550954
2161	2180	JAX00245662	UNC379621	20	31191703	31507899	chr1	5.90025595091216
2181	2200	JAX00002126	UNC382234	20	31533135	31785145	chr1	5.7751359079688
2201	2220	JAX00002145	JAX00002174	20	31812815	32182924	chr1	5.84455928209933
2221	2240	JAX00245759	JAX00002190	20	32184323	32400679	chr1	5.84748838603365
2241	2260	JAX00245800	JAX00002212	20	32401169	32687559	chr1	5.84624922952746
2261	2280	JAX00245853	JAX00245900	20	32690758	32888822	chr1	5.76021310091053
2281	2300	JAX00002227	JAX00245967	20	32894034	33114127	chr1	5.75963571246804
2301	2320	JAX00245968	JAX00191270	20	33114651	33438664	chr1	5.79917397937961
2321	2340	UNC402209	JAX00246101	20	33449127	33634142	chr1	5.8867164705979
2341	2360	UNC405147	JAX00246130	20	33635103	33796877	chr1	5.85470915242116
2361	2380	JAX00246131	JAX00246154	20	33796991	33928037	chr1	5.7573991737812
2381	2400	JAX00246156	UNC411848	20	33928244	34023753	chr1	5.75689266091501
2401	2420	JAX00246197	JAX00246235	20	34024549	34171396	chr1	5.75538949759292
2421	2440	UNC010442447	JAX00246283	20	34175860	34280536	chr1	5.63591729368352
2441	2460	UNC416870	backupUNC010066723	20	34282653	34470337	chr1	5.63668742435285
2461	2480	UNC420525	JAX00246371	20	34485225	34628608	chr1	5.62818938595403
2481	2500	JAX00246377	JAX00246447	20	34631803	34837777	chr1	5.62552879477284
2501	2520	JAX00246451	JAX00002382	20	34843964	34955879	chr1	5.6173615383188
2521	2540	JAX00191306	JAX00246533	20	34994936	35082450	chr1	5.62275202546856
2541	2560	JAX00002392	JAX00246597	20	35088571	35307891	chr1	5.59123307476363
2561	2580	JAX00002409	UNC438077	20	35336368	35522229	chr1	5.5216598029841
2581	2600	JAX00246653	JAX00191323	20	35530512	35671399	chr1	5.36105335216609
2601	2620	JAX00246694	JAX00246726	20	35671927	35785031	chr1	5.36072648248252
2621	2640	JAX00246728	JAX00246786	20	35801059	35951468	chr1	5.36099424365105
2641	2660	UNC444874	JAX00246818	20	35958094	36024942	chr1	5.36168809581236
2661	2680	JAX00246826	JAX00246874	20	36056784	36150503	chr1	5.36193022218161
2681	2700	JAX00246883	JAX00246944	20	36174383	36283703	chr1	5.36238747754974
2701	2720	JAX00246949	JAX00002492	20	36286529	36413149	chr1	5.36264770097798
2721	2740	JAX00246997	UNC455417	20	36417246	36647586	chr1	5.36267327621991
2741	2760	JAX00002508	JAX00247109	20	36652368	36810625	chr1	5.36906679880053
2761	2780	JAX00247110	JAX00247157	20	36811477	36956303	chr1	5.36404169692133
2781	2800	JAX00247158	UNC010549141	20	36958242	37112093	chr1	5.36607255897572
2801	2820	JAX00247223	backupUNC011221975	20	37121793	37250990	chr1	5.38402253978675
2821	2840	JAX00247266	JAX00247306	20	37269751	37425825	chr1	5.52321785469342
2841	2860	JAX00002568	JAX00247377	20	37446591	37622959	chr1	5.50644369326524
2861	2880	JAX00247379	JAX00002600	20	37631859	37861899	chr1	5.55939131327298
2881	2900	UNC471090	UNC472864	20	37876846	38063892	chr1	5.68439570048128
2901	2920	JAX00247464	UNC474803	20	38094347	38274756	chr1	5.71561703088237
2921	2940	JAX00247489	JAX00247542	20	38291662	38444318	chr1	5.5720742805622
2941	2960	UNC477390	JAX00247590	20	38448656	38574096	chr1	5.56744087862911
2961	2980	JAX00002653	JAX00247624	20	38574132	38727305	chr1	5.44749358089294
2981	3000	JAX00247627	JAX00247693	20	38728044	38897303	chr1	5.42814096843542
3001	3020	JAX00247694	JAX00247743	20	38897379	39014248	chr1	5.45215659771279
3021	3040	JAX00247747	JAX00247809	20	39025971	39158797	chr1	5.46035771915385
3041	3060	JAX00247810	JAX00002705	20	39158968	39253760	chr1	5.48094284150224
3061	3080	JAX00247841	JAX00247885	20	39256990	39358523	chr1	5.58268370479873
3081	3100	JAX00247887	JAX00247934	20	39361798	39562995	chr1	5.91618131153229
3101	3120	JAX00247950	JAX00002743	20	39609857	39771752	chr1	5.89487245921598
3121	3140	JAX00247989	JAX00248043	20	39785840	39968612	chr1	5.91852629293306
3141	3160	JAX00248046	JAX00248086	20	39970561	40041888	chr1	5.94193119367725
3161	3180	JAX00248087	JAX00248130	20	40047425	40147127	chr1	6.10375766534974
3181	3200	JAX00248135	UNC505877	20	40151868	40243208	chr1	5.98159306271799
3201	3220	UNC506099	UNC507882	20	40260652	40381054	chr1	5.93000681597689
3221	3240	JAX00248203	UNC509809	20	40383296	40515533	chr1	5.93271585869645
3241	3260	JAX00248254	JAX00191431	20	40520266	40598345	chr1	5.9300949894102
3261	3280	UNC511312	JAX00248308	20	40606794	40760210	chr1	5.76577591070677
3281	3300	JAX00248311	JAX00248338	20	40770555	40898765	chr1	5.29193605998745
3301	3320	UNC516206	JAX00248375	20	40913405	41051883	chr1	4.8688322569954
3321	3340	JAX00248376	UNC521141	20	41063214	41212779	chr1	4.83187003360857
3341	3360	JAX00248403	JAX00002859	20	41228061	41346976	chr1	4.80230688411247
3361	3380	JAX00248421	JAX00248455	20	41347207	41547584	chr1	4.77356357752947
3381	3400	UNC525955	UNC528903	20	41548410	41759137	chr1	4.9175017461336
3401	3420	JAX00248499	UNC531436	20	41762931	41937573	chr1	5.29007134654349
3421	3440	JAX00002906	JAX00248573	20	41939362	42089211	chr1	5.3003866769764
3441	3460	JAX00002917	JAX00248608	20	42101007	42208884	chr1	5.30812764614314
3461	3480	UNC534913	JAX00248648	20	42213016	42344217	chr1	5.22626856691033
3481	3500	JAX00248649	JAX00248682	20	42345485	42454337	chr1	5.20055240945975
3501	3520	JAX00248683	JAX00248708	20	42455034	42524408	chr1	5.20263837660409
3521	3540	JAX00248709	UNC540376	20	42524866	42589977	chr1	5.19793520266469
3541	3560	JAX00248739	JAX00248774	20	42595382	42725134	chr1	5.19717898937535
3561	3580	UNC542228	JAX00002976	20	42734067	42885851	chr1	5.19743011324209
3581	3600	UNC544289	JAX00248845	20	42888308	43104453	chr1	5.19425876616123
3601	3620	JAX00248847	JAX00248890	20	43104849	43231237	chr1	5.23737188444601
3621	3640	JAX00248892	JAX00248931	20	43235709	43356461	chr1	5.01696569535628
3641	3660	UNC551425	JAX00003026	20	43356856	43532287	chr1	4.80150910693078
3661	3680	JAX00248974	JAX00248999	20	43533090	43637287	chr1	4.80003868619264
3681	3700	JAX00191503	JAX00249030	20	43637537	43803125	chr1	4.69384843336253
3701	3720	JAX00249032	JAX00249075	20	43805664	43944320	chr1	4.67717812335699
3721	3740	JAX00249078	JAX00249129	20	43972191	44198371	chr1	4.75525823832823
3741	3760	JAX00249132	JAX00249198	20	44199078	44494273	chr1	4.83075005881047
3761	3780	JAX00003096	JAX00249258	20	44494304	44773444	chr1	4.88352505160929
3781	3800	JAX00003119	JAX00249311	20	44790378	45131665	chr1	4.74232562843392
3801	3820	JAX00003146	JAX00249353	20	45132465	45443542	chr1	4.73018013039819
3821	3840	JAX00003170	JAX00249395	20	45452838	45634814	chr1	4.72989435991498
3841	3860	JAX00249407	JAX00249451	20	45654482	45823058	chr1	4.86318373112504
3861	3880	UNC587430	JAX00249514	20	45826741	46047106	chr1	4.88219535202802
3881	3900	JAX00249515	JAX00249568	20	46047648	46293847	chr1	4.89991109089151
3901	3920	JAX00249577	JAX00249654	20	46400951	46793985	chr1	4.90731545702826
3921	3940	JAX00003270	JAX00249700	20	46794109	46932264	chr1	4.8655193353576
3941	3960	JAX00249706	JAX00249750	20	46941482	47159494	chr1	4.78278544806201
3961	3980	UNC600255	UNC604430	20	47159621	47538062	chr1	4.83966508892695
3981	4000	JAX00003327	JAX00249864	20	47570342	47790418	chr1	4.97193817102992
4001	4020	UNC010715287	JAX00003375	20	47791233	48199497	chr1	4.77537060256764
4021	4040	UNC612760	JAX00003403	20	48215087	48572882	chr1	4.68708686431968
4041	4060	JAX00003405	JAX00250030	20	48599813	49079852	chr1	4.51715256497324
4061	4080	JAX00003441	JAX00003475	20	49091078	49537498	chr1	4.52471380941461
4081	4100	JAX00250074	JAX00250111	20	49539906	49892767	chr1	4.50253177402395
4101	4120	JAX00250113	JAX00003529	20	49926993	50292237	chr1	4.47127545595432
4121	4140	JAX00250174	UNC643528	20	50295786	50586920	chr1	4.48133000310024
4141	4160	JAX00003553	JAX00003577	20	50594847	50939202	chr1	4.49946575448543
4161	4180	JAX00003578	JAX00250311	20	50939267	51151906	chr1	4.52979079221256
4181	4200	JAX00250312	UNC653383	20	51154298	51299180	chr1	4.40131178088276
4201	4220	JAX00250369	JAX00250405	20	51315462	51464485	chr1	4.45083378920883
4221	4240	JAX00250406	JAX00250435	20	51464578	51590600	chr1	4.44990657137987
4241	4260	JAX00250437	UNC658850	20	51595982	51714316	chr1	4.56495133305465
4261	4280	JAX00003639	JAX00003646	20	51726997	51849214	chr1	4.87981234324245
4281	4300	JAX00250534	JAX00003654	20	51852461	51947557	chr1	4.98553638581081
4301	4320	JAX00250573	JAX00250618	20	51952563	52068374	chr1	5.19803633798005
4321	4340	JAX00250624	UNC667141	20	52076008	52184251	chr1	5.20975306570085
4341	4360	JAX00250656	JAX00250699	20	52189564	52327247	chr1	5.22563751251185
4361	4380	JAX00250701	JAX00250742	20	52328602	52481775	chr1	5.23727638526061
4381	4400	JAX00250743	UNC672230	20	52484176	52585228	chr1	5.25391457147976
4401	4420	JAX00250780	JAX00191698	20	52593892	52716799	chr1	5.2258454862405
4421	4440	UNC674249	JAX00250881	20	52717897	52965832	chr1	5.20626555435323
4441	4460	UNC677810	JAX00250912	20	52967901	53068244	chr1	5.10894485785846
4461	4480	JAX00003739	UNC681990	20	53091392	53356247	chr1	5.0753316454901
4481	4500	JAX00250964	JAX00251051	20	53356970	53813227	chr1	5.10856577218408
4501	4520	JAX00251055	JAX00251091	20	53845960	53961323	chr1	5.28308006254822
4521	4540	JAX00251092	UNC691648	20	53961472	54255170	chr1	5.28953203718557
4541	4560	JAX00003829	UNC694544	20	54274523	54504118	chr1	5.26290182288952
4561	4580	JAX00251173	JAX00003863	20	54505399	54724859	chr1	5.23789708414076
4581	4600	JAX00251226	JAX00191741	20	54725363	54826491	chr1	5.21834576912491
4601	4620	JAX00003873	JAX00251318	20	54850326	54934829	chr1	5.33349766955984
4621	4640	JAX00251320	JAX00251389	20	54955500	55279216	chr1	5.38480195840967
4641	4660	UNC705778	JAX00003921	20	55299497	55511621	chr1	5.38227563423587
4661	4680	UNC707616	JAX00251488	20	55517416	55709875	chr1	5.39659934732097
4681	4700	JAX00251489	UNC712273	20	55710796	55822831	chr1	5.45758527962226
4701	4720	JAX00003947	JAX00251594	20	55860075	55996468	chr1	5.45836701985916
4721	4740	JAX00251596	JAX00003975	20	55997684	56225427	chr1	5.4595387849351
4741	4760	JAX00251650	JAX00003990	20	56242871	56417978	chr1	5.49323763042394
4761	4780	UNC010729195	JAX00251752	20	56428647	56606748	chr1	5.53051747203547
4781	4800	JAX00251753	JAX00004018	20	56615257	56793551	chr1	5.53002591630794
4801	4820	JAX00251797	JAX00251852	20	56800843	56999465	chr1	5.56580885684128
4821	4840	backupUNC012316368	JAX00251888	20	57001168	57185299	chr1	5.54613294228531
4841	4860	JAX00251890	UNC010731340	20	57186046	57415420	chr1	5.54133503567924
4861	4880	JAX00191800	JAX00251979	20	57418523	57615336	chr1	5.69655206144483
4881	4900	JAX00004078	UNC733960	20	57615846	57735724	chr1	5.71209792940451
4901	4920	JAX00004092	JAX00252051	20	57774166	57974992	chr1	5.65621769071646
4921	4940	JAX00252053	JAX00252097	20	57977395	58227689	chr1	5.6519872994266
4941	4960	JAX00252101	JAX00004131	20	58236518	58297315	chr1	5.65031914755982
4961	4980	JAX00191815	JAX00004145	20	58324446	58506215	chr1	5.62649857170522
4981	5000	JAX00252169	JAX00252196	20	58506542	58673708	chr1	5.58587559544007
5001	5020	UNC746854	JAX00252247	20	58784987	59044207	chr1	5.43462670302612
5021	5040	JAX00004189	JAX00004202	20	59078431	59240364	chr1	5.26746403911847
5041	5060	UNC751654	JAX00191840	20	59245541	59401604	chr1	5.22304923856912
5061	5080	JAX00004214	JAX00252404	20	59414487	59496154	chr1	5.23070327649341
5081	5100	JAX00252405	JAX00004241	20	59501093	59780022	chr1	5.41839691520051
5101	5120	JAX00252465	JAX00252497	20	59805686	60024065	chr1	5.5804196890294
5121	5140	B6_rs3659238	JAX00252519	20	60046978	60241011	chr1	5.77993205818797
5141	5160	JAX00252521	JAX00004292	20	60256635	60441421	chr1	5.83039676642531
5161	5180	backupJAX00004293	JAX00252601	20	60441494	60673461	chr1	5.83667886287983
5181	5200	JAX00004309	JAX00252642	20	60673824	60916315	chr1	5.80770838914851
5201	5220	UNC771487	JAX00252702	20	60936977	61165787	chr1	5.76661284150104
5221	5240	UNC774504	JAX00004360	20	61184345	61368274	chr1	5.643812847902
5241	5260	UNC776673	JAX00252791	20	61373519	61606448	chr1	5.52612641468202
5261	5280	JAX00004378	JAX00252821	20	61609576	61788884	chr1	5.35097009538466
5281	5300	JAX00252822	JAX00004414	20	61790117	62091075	chr1	5.04727880356241
5301	5320	JAX00252865	UNC787219	20	62112614	62377587	chr1	5.02628754603033
5321	5340	backupUNC010739171	JAX00252933	20	62387583	62660493	chr1	5.19984629001125
5341	5360	JAX00004458	JAX00004467	20	62661425	62772488	chr1	5.00790443688596
5361	5380	JAX00252953	UNC793417	20	62788218	62964123	chr1	5.35640171994579
5381	5400	UNC793779	JAX00004502	20	62993822	63253832	chr1	5.47237031005131
5401	5420	JAX00253027	JAX00004520	20	63284903	63499605	chr1	5.50331589111364
5421	5440	UNC010104462	JAX00191937	20	63505054	63750621	chr1	5.46384208645776
5441	5460	UNC801098	UNC010486741	20	63774007	64043833	chr1	5.4486575790822
5461	5480	JAX00253171	JAX00253207	20	64046058	64158503	chr1	5.36175048137923
5481	5500	JAX00253211	JAX00253241	20	64183849	64320423	chr1	5.39950014236858
5501	5520	JAX00004582	UNC809041	20	64334183	64515184	chr1	5.47055142394856
5521	5540	JAX00004599	JAX00253315	20	64550813	64699289	chr1	5.55814379728551
5541	5560	UNC010106429	JAX00253348	20	64704407	64924557	chr1	5.60707499564995
5561	5580	UNC813782	JAX00253405	20	64926042	65186023	chr1	5.54609608614078
5581	5600	UNC817280	JAX00253461	20	65191919	65332226	chr1	5.48732013297948
5601	5620	JAX00004659	UNC822740	20	65334144	65637894	chr1	5.45715807291415
5621	5640	JAX00253508	JAX00253537	20	65679605	65947573	chr1	5.09528803173
5641	5660	UNC827494	JAX00253574	20	65950222	66176936	chr1	5.05499043232584
5661	5680	JAX00253576	UNC833920	20	66181125	66402351	chr1	4.98343731429368
5681	5700	JAX00253612	JAX00253650	20	66402884	66558275	chr1	4.86080966134458
5701	5720	JAX00004751	UNC838814	20	66573573	66780481	chr1	4.95644005267468
5721	5740	JAX00253687	JAX00004780	20	66796030	66973093	chr1	5.03468695712833
5741	5760	UNC842284	JAX00004791	20	66990126	67123786	chr1	5.03498123412959
5761	5780	UNC844929	JAX00253810	20	67160047	67481037	chr1	5.03507140581248
5781	5800	JAX00253811	JAX00253847	20	67484882	67710918	chr1	5.03570066105607
5801	5820	JAX00253848	JAX00253874	20	67711209	67972619	chr1	5.03602433673431
5821	5840	JAX00004854	JAX00253920	20	67975690	68167465	chr1	5.0364950311329
5841	5860	JAX00253921	JAX00253945	20	68167580	68346024	chr1	5.03671245766113
5861	5880	JAX00253950	JAX00004902	20	68386005	68618707	chr1	5.17077714524161
5881	5900	JAX00253983	JAX00254017	20	68638494	68822445	chr1	5.25855131127032
5901	5920	JAX00254019	JAX00004933	20	68826711	69026603	chr1	5.32856938862326
5921	5940	JAX00254064	JAX00004952	20	69032683	69296439	chr1	5.39847044036455
5941	5960	JAX00004953	JAX00254134	20	69296951	69549186	chr1	5.419959111558
5961	5980	JAX00254137	JAX00004988	20	69554675	69764472	chr1	5.41086416644262
5981	6000	JAX00254181	UNC884363	20	69767857	70088393	chr1	5.35805338383508
6001	6020	JAX00192012	JAX00005033	20	70106093	70373824	chr1	5.74913211409032
6021	6040	UNC888180	JAX00192030	20	70374629	70620028	chr1	5.67048665685151
6041	6060	JAX00254319	UNC894416	20	70638760	70824085	chr1	6.16135405114564
6061	6080	UNC894537	UNC896379	20	70837533	70987330	chr1	5.49652406490185
6081	6100	JAX00254367	JAX00254389	20	71002593	71143924	chr1	5.4858992954626
6101	6120	UNC898113	JAX00254414	20	71150125	71305595	chr1	5.47656126922017
6121	6140	JAX00254418	JAX00254452	20	71310339	71494186	chr1	5.39633732045369
6141	6160	JAX00254453	UNC904980	20	71514347	71676740	chr1	5.3350191787843
6161	6180	JAX00192050	JAX00254547	20	71678964	71846132	chr1	5.34338568567764
6181	6200	JAX00005145	JAX00254593	20	71854482	72015011	chr1	5.34872464490851
6201	6220	JAX00254595	JAX00254639	20	72041896	72241137	chr1	5.35582168067569
6221	6240	JAX00254641	JAX00005188	20	72244089	72415630	chr1	5.71471436311013
6241	6260	UNC916875	JAX00005205	20	72419039	72651412	chr1	5.45723883270467
6261	6280	JAX00254729	JAX00254779	20	72651502	72820373	chr1	5.45108184991462
6281	6300	JAX00005219	JAX00005236	20	72851044	73066219	chr1	5.44548341123435
6301	6320	JAX00254843	JAX00254887	20	73084473	73241935	chr1	5.33841961703603
6321	6340	UNC929321	JAX00254932	20	73246379	73353753	chr1	5.28104862905184
6341	6360	UNC931093	JAX00254990	20	73363384	73538698	chr1	5.27289086402839
6361	6380	JAX00005272	UNC936405	20	73543072	73763258	chr1	5.26295625235766
6381	6400	JAX00005288	JAX00255100	20	73764122	73978505	chr1	5.251325635181
6401	6420	UNC939130	JAX00255168	20	73992316	74104950	chr1	5.24323900253635
6421	6440	JAX00255169	UNC942411	20	74110285	74211412	chr1	4.97866687071251
6441	6460	JAX00192111	JAX00255235	20	74217614	74408927	chr1	4.94626069042622
6461	6480	UNC945448	JAX00005346	20	74411377	74532775	chr1	4.85916311999197
6481	6500	JAX00005347	JAX00255285	20	74534238	74726279	chr1	4.84869279422514
6501	6520	JAX00005361	JAX00005376	20	74732637	74948660	chr1	4.86819610871341
6521	6540	B6_01-074963079-S	JAX00255361	20	74963079	75090539	chr1	4.94249614679391
6541	6560	JAX00255362	JAX00255395	20	75090616	75273207	chr1	4.88893261917747
6561	6580	JAX00255397	JAX00255453	20	75283564	75414170	chr1	4.88828834985438
6581	6600	JAX00255455	JAX00255525	20	75414804	75638191	chr1	4.81393676977069
6601	6620	JAX00255527	JAX00255589	20	75638886	75814853	chr1	4.93309746710379
6621	6640	JAX00192141	JAX00255622	20	75815074	75930772	chr1	4.93546908037648
6641	6660	JAX00005451	UNC964299	20	75931855	76090423	chr1	4.92467758500356
6661	6680	JAX00255679	UNC966769	20	76113578	76291445	chr1	4.89646579248686
6681	6700	JAX00255723	JAX00005494	20	76336500	76500345	chr1	4.8928671087883
6701	6720	JAX00255786	JAX00255831	20	76527587	76639220	chr1	4.88924351682572
