from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1281	1300	JAX00243693	JAX00243731	20	20367232	20541966	chr1	0.54176170866526	0.315	1.005
1301	1320	JAX00243741	JAX00243797	20	20561596	20793448	chr1	0.54205628979102	0.315	1.005
1321	1340	JAX00243802	UNC241230	20	20806285	20938029	chr1	0.542043244377195	0.315	1.005
1341	1360	JAX00243846	UNC244201	20	20942963	21116072	chr1	0.541973287039975	0.315	1.005
1361	1380	JAX00243889	JAX00001366	20	21117333	21306616	chr1	0.544835063818327	0.315	1.005
1381	1400	JAX00243950	JAX00243994	20	21377571	21589062	chr1	0.557583572239949	0.315	1.005
1401	1420	JAX00001388	JAX00244053	20	21589916	21719729	chr1	0.558158805662335	0.315	1.005
1421	1440	JAX00244057	JAX00244094	20	21724793	21983887	chr1	0.555833458931989	0.315	1.005
1441	1460	JAX00244096	JAX00244129	20	21999637	22262727	chr1	0.556358037148916	0.31	1.005
1461	1480	JAX00244130	UNC264385	20	22262996	22421498	chr1	0.559277932047005	0.315	1.005
1481	1500	UNC264416	JAX00244210	20	22475222	22680881	chr1	0.559979253521155	0.31	1.005
1501	1520	JAX00001469	JAX00001477	20	22718471	22819589	chr1	0.556148614595934	0.32	1.005
1521	1540	JAX00244248	JAX00244290	20	22841527	23075605	chr1	0.563916541512062	0.32	1.005
1541	1560	JAX00244291	JAX00244326	20	23075817	23270174	chr1	0.582444628482916	0.315	1.005
1561	1580	UNC276290	JAX00244359	20	23293039	23484110	chr1	0.597662154647596	0.3	1.005
1581	1600	UNC278894	JAX00244396	20	23484917	23658640	chr1	0.642590918920046	0.27	1.005
1601	1620	JAX00001539	UNC283190	20	23682723	23784570	chr1	0.644529908062601	0.265	1.005
1621	1640	JAX00244437	JAX00244469	20	23816672	23958732	chr1	0.645140271767224	0.265	1.005
1641	1660	JAX00001563	JAX00001575	20	23973025	24147946	chr1	0.69000564803776	0.23	1.005
1661	1680	JAX00001577	JAX00244590	20	24149191	24326205	chr1	0.700085558199114	0.225	1.005
1681	1700	JAX00244591	JAX00244642	20	24326238	24515849	chr1	0.700547644308161	0.225	1.005
1701	1720	UNC295267	JAX00001615	20	24516479	24672104	chr1	0.701957336866205	0.23	1.005
1721	1740	UNC298468	JAX00244724	20	24739294	24935351	chr1	0.70349168227882	0.235	1.005
1741	1760	JAX00244725	UNC304098	20	24935730	25133192	chr1	0.703874781362869	0.23	1.005
1761	1780	JAX00001646	JAX00191084	20	25133724	25360787	chr1	0.704298892592077	0.23	1.005
1781	1800	JAX00244799	JAX00244845	20	25360850	25501465	chr1	0.704331528736287	0.23	1.005
1801	1820	JAX00244848	JAX00001692	20	25508556	25754788	chr1	0.708133608257834	0.23	1.005
1821	1840	UNC311195	JAX00188692	20	25757843	25997237	chr1	0.747858957541315	0.22	1.005
1841	1860	UNC315252	JAX00245023	20	25997697	26170765	chr1	0.746571728155762	0.21	1.005
1861	1880	JAX00001724	JAX00245052	20	26171240	26420298	chr1	0.648176481180072	0.26	1.005
1881	1900	JAX00001743	JAX00245090	20	26435495	26690674	chr1	0.654831293369324	0.25	1.005
1901	1920	JAX00245093	JAX00245137	20	26692385	26908686	chr1	0.751938276851402	0.205	1.005
1921	1940	JAX00001781	JAX00245186	20	26937623	27403088	chr1	0.742257855602071	0.2	1.005
1941	1960	UNC337071	UNC340151	20	27421620	27730678	chr1	0.742080780515223	0.205	1.005
1961	1980	JAX00001840	JAX00245257	20	27739870	28023650	chr1	0.739321779337978	0.205	1.005
1981	2000	JAX00245264	JAX00001905	20	28047832	28616227	chr1	0.718017987123749	0.24	1.005
2001	2020	JAX00001906	JAX00001932	20	28616775	28958204	chr1	0.96213423908626	0.14	1.005
2021	2040	JAX00001933	JAX00245405	20	28961078	29342614	chr1	1.11288137166079	0.1	1.005
2041	2060	JAX00001962	JAX00001993	20	29354689	29771557	chr1	1.0734008096583	0.11	1.005
2061	2080	JAX00245460	JAX00245507	20	29808891	30134369	chr1	1.07115760033025	0.105	1.005
2081	2100	JAX00002024	UNC369354	20	30183383	30480686	chr1	1.00030689702695	0.125	1.005
2101	2120	JAX00002048	UNC372374	20	30487284	30815119	chr1	0.939761831222938	0.145	1.005
2121	2140	JAX00245580	JAX00191216	20	30816013	31043591	chr1	0.985398011836265	0.11	1.005
2141	2160	JAX00245613	JAX00245656	20	31054582	31179916	chr1	1.00060591163117	0.11	1.005
2161	2180	JAX00245662	UNC379621	20	31191703	31507899	chr1	1.03520090790645	0.105	1.005
2181	2200	JAX00002126	UNC382234	20	31533135	31785145	chr1	1.19709157177905	0.05	1.005
2201	2220	JAX00002145	JAX00002174	20	31812815	32182924	chr1	1.42047682434921	0.025	1.005
2221	2240	JAX00245759	JAX00002190	20	32184323	32400679	chr1	1.4420187641289	0.025	1
2241	2260	JAX00245800	JAX00002212	20	32401169	32687559	chr1	1.47408110344895	0.025	1
2261	2280	JAX00245853	JAX00245900	20	32690758	32888822	chr1	1.43701308467961	0.025	1
2281	2300	JAX00002227	JAX00245967	20	32894034	33114127	chr1	1.44701097855692	0.02	1
2301	2320	JAX00245968	JAX00191270	20	33114651	33438664	chr1	1.44307488891441	0.02	1
2321	2340	UNC402209	JAX00246101	20	33449127	33634142	chr1	1.52541600717327	0.015	1
2341	2360	UNC405147	JAX00246130	20	33635103	33796877	chr1	1.53103321608816	0.015	1
2361	2380	JAX00246131	JAX00246154	20	33796991	33928037	chr1	1.57067818587582	0.015	1
2381	2400	JAX00246156	UNC411848	20	33928244	34023753	chr1	1.57223572209594	0.005	1
2401	2420	JAX00246197	JAX00246235	20	34024549	34171396	chr1	1.5679570707622	0.015	1
2421	2440	UNC010442447	JAX00246283	20	34175860	34280536	chr1	1.5897458907342	0.01	1
2441	2460	UNC416870	backupUNC010066723	20	34282653	34470337	chr1	1.58631973193623	0.01	1
2461	2480	UNC420525	JAX00246371	20	34485225	34628608	chr1	1.41972759300169	0.025	1.005
2481	2500	JAX00246377	JAX00246447	20	34631803	34837777	chr1	1.42830550415653	0.025	1.005
2501	2520	JAX00246451	JAX00002382	20	34843964	34955879	chr1	1.44247984592118	0.02	1
2521	2540	JAX00191306	JAX00246533	20	34994936	35082450	chr1	1.42409311404733	0.025	1.005
2541	2560	JAX00002392	JAX00246597	20	35088571	35307891	chr1	1.39292073546231	0.03	1.005
2561	2580	JAX00002409	UNC438077	20	35336368	35522229	chr1	1.38283152974035	0.035	1.005
2581	2600	JAX00246653	JAX00191323	20	35530512	35671399	chr1	1.2601297209796	0.04	1.005
2601	2620	JAX00246694	JAX00246726	20	35671927	35785031	chr1	1.26057637475277	0.04	1.005
2621	2640	JAX00246728	JAX00246786	20	35801059	35951468	chr1	1.26088849944467	0.04	1.005
2641	2660	UNC444874	JAX00246818	20	35958094	36024942	chr1	1.26105597465853	0.04	1.005
2661	2680	JAX00246826	JAX00246874	20	36056784	36150503	chr1	1.26126072702017	0.035	1.005
2681	2700	JAX00246883	JAX00246944	20	36174383	36283703	chr1	1.26147447463931	0.035	1.005
2701	2720	JAX00246949	JAX00002492	20	36286529	36413149	chr1	1.26167636732402	0.035	1.005
2721	2740	JAX00246997	UNC455417	20	36417246	36647586	chr1	1.26205816855649	0.04	1.005
2741	2760	JAX00002508	JAX00247109	20	36652368	36810625	chr1	1.26133060075116	0.035	1.005
2761	2780	JAX00247110	JAX00247157	20	36811477	36956303	chr1	1.24779645673672	0.035	1.005
2781	2800	JAX00247158	UNC010549141	20	36958242	37112093	chr1	1.25605868369777	0.03	1.005
2801	2820	JAX00247223	backupUNC011221975	20	37121793	37250990	chr1	1.23950670051735	0.035	1.005
2821	2840	JAX00247266	JAX00247306	20	37269751	37425825	chr1	1.40230347761911	0.015	1.005
2841	2860	JAX00002568	JAX00247377	20	37446591	37622959	chr1	1.31643885381695	0.03	1.005
2861	2880	JAX00247379	JAX00002600	20	37631859	37861899	chr1	1.39341107913384	0.04	1.005
2881	2900	UNC471090	UNC472864	20	37876846	38063892	chr1	1.58134280767876	0.025	1
2901	2920	JAX00247464	UNC474803	20	38094347	38274756	chr1	1.59128771398738	0.025	1
2921	2940	JAX00247489	JAX00247542	20	38291662	38444318	chr1	1.47757137713231	0.035	1
2941	2960	UNC477390	JAX00247590	20	38448656	38574096	chr1	1.43488231195697	0.035	1
2961	2980	JAX00002653	JAX00247624	20	38574132	38727305	chr1	1.41054566658583	0.025	1.005
2981	3000	JAX00247627	JAX00247693	20	38728044	38897303	chr1	1.40943277888498	0.025	1.005
3001	3020	JAX00247694	JAX00247743	20	38897379	39014248	chr1	1.38950661785315	0.025	1.005
3021	3040	JAX00247747	JAX00247809	20	39025971	39158797	chr1	1.46656686906132	0.02	1
3041	3060	JAX00247810	JAX00002705	20	39158968	39253760	chr1	1.49219524837589	0.02	1
3061	3080	JAX00247841	JAX00247885	20	39256990	39358523	chr1	1.46602832407593	0.03	1
3081	3100	JAX00247887	JAX00247934	20	39361798	39562995	chr1	1.27136634214522	0.05	1.005
3101	3120	JAX00247950	JAX00002743	20	39609857	39771752	chr1	1.19002171825863	0.055	1.005
3121	3140	JAX00247989	JAX00248043	20	39785840	39968612	chr1	1.22437686295104	0.055	1.005
3141	3160	JAX00248046	JAX00248086	20	39970561	40041888	chr1	1.19782920654694	0.06	1.005
3161	3180	JAX00248087	JAX00248130	20	40047425	40147127	chr1	1.22298604219536	0.045	1.005
3181	3200	JAX00248135	UNC505877	20	40151868	40243208	chr1	1.21505127081843	0.03	1.005
3201	3220	UNC506099	UNC507882	20	40260652	40381054	chr1	1.19991215353976	0.035	1.005
3221	3240	JAX00248203	UNC509809	20	40383296	40515533	chr1	1.17450819522077	0.05	1.005
3241	3260	JAX00248254	JAX00191431	20	40520266	40598345	chr1	1.17578381234269	0.045	1.005
3261	3280	UNC511312	JAX00248308	20	40606794	40760210	chr1	1.33565221268909	0.025	1.005
3281	3300	JAX00248311	JAX00248338	20	40770555	40898765	chr1	1.33670168720921	0.03	1.005
3301	3320	UNC516206	JAX00248375	20	40913405	41051883	chr1	1.25448561196797	0.06	1.005
3321	3340	JAX00248376	UNC521141	20	41063214	41212779	chr1	1.1692004824167	0.075	1.005
3341	3360	JAX00248403	JAX00002859	20	41228061	41346976	chr1	1.1122924222266	0.085	1.005
3361	3380	JAX00248421	JAX00248455	20	41347207	41547584	chr1	1.06550758805329	0.105	1.005
3381	3400	UNC525955	UNC528903	20	41548410	41759137	chr1	1.0332324718302	0.11	1.005
3401	3420	JAX00248499	UNC531436	20	41762931	41937573	chr1	0.819084574796809	0.175	1.005
3421	3440	JAX00002906	JAX00248573	20	41939362	42089211	chr1	0.787323232005626	0.17	1.005
3441	3460	JAX00002917	JAX00248608	20	42101007	42208884	chr1	0.776043001819268	0.17	1.005
3461	3480	UNC534913	JAX00248648	20	42213016	42344217	chr1	0.745621614685307	0.175	1.005
3481	3500	JAX00248649	JAX00248682	20	42345485	42454337	chr1	0.731546816595176	0.18	1.005
3501	3520	JAX00248683	JAX00248708	20	42455034	42524408	chr1	0.729794921922283	0.185	1.005
3521	3540	JAX00248709	UNC540376	20	42524866	42589977	chr1	0.746301613490572	0.17	1.005
3541	3560	JAX00248739	JAX00248774	20	42595382	42725134	chr1	0.766508120176056	0.155	1.005
3561	3580	UNC542228	JAX00002976	20	42734067	42885851	chr1	0.715117036676968	0.175	1.005
3581	3600	UNC544289	JAX00248845	20	42888308	43104453	chr1	0.706482783603958	0.16	1.005
3601	3620	JAX00248847	JAX00248890	20	43104849	43231237	chr1	0.72705412432159	0.155	1.005
3621	3640	JAX00248892	JAX00248931	20	43235709	43356461	chr1	0.714972220663304	0.14	1.005
3641	3660	UNC551425	JAX00003026	20	43356856	43532287	chr1	0.820772495616869	0.09	1.005
3661	3680	JAX00248974	JAX00248999	20	43533090	43637287	chr1	0.863111051086	0.07	1.005
3681	3700	JAX00191503	JAX00249030	20	43637537	43803125	chr1	0.885996801753391	0.08	1.005
3701	3720	JAX00249032	JAX00249075	20	43805664	43944320	chr1	0.842629291860049	0.09	1.005
3721	3740	JAX00249078	JAX00249129	20	43972191	44198371	chr1	0.74422165539814	0.155	1.005
3741	3760	JAX00249132	JAX00249198	20	44199078	44494273	chr1	0.728643367042899	0.175	1.005
3761	3780	JAX00003096	JAX00249258	20	44494304	44773444	chr1	0.659135912348401	0.205	1.005
3781	3800	JAX00003119	JAX00249311	20	44790378	45131665	chr1	0.644149961995282	0.19	1.005
3801	3820	JAX00003146	JAX00249353	20	45132465	45443542	chr1	0.646717253933875	0.19	1.005
3821	3840	JAX00003170	JAX00249395	20	45452838	45634814	chr1	0.599619801583604	0.205	1.005
3841	3860	JAX00249407	JAX00249451	20	45654482	45823058	chr1	0.520388528164157	0.26	1.005
3861	3880	UNC587430	JAX00249514	20	45826741	46047106	chr1	0.502115381721639	0.28	1.005
3881	3900	JAX00249515	JAX00249568	20	46047648	46293847	chr1	0.526705134469548	0.26	1.005
3901	3920	JAX00249577	JAX00249654	20	46400951	46793985	chr1	0.547792253699344	0.25	1.005
3921	3940	JAX00003270	JAX00249700	20	46794109	46932264	chr1	0.372830711900437	0.41	1.005
3941	3960	JAX00249706	JAX00249750	20	46941482	47159494	chr1	0.589307917338456	0.215	1.005
3961	3980	UNC600255	UNC604430	20	47159621	47538062	chr1	0.523670046720109	0.285	1.005
3981	4000	JAX00003327	JAX00249864	20	47570342	47790418	chr1	0.370434584306642	0.405	1.005
4001	4020	UNC010715287	JAX00003375	20	47791233	48199497	chr1	0.659231636278316	0.185	1.005
4021	4040	UNC612760	JAX00003403	20	48215087	48572882	chr1	0.815746545999903	0.135	1.005
4041	4060	JAX00003405	JAX00250030	20	48599813	49079852	chr1	0.663751601429752	0.18	1.005
4061	4080	JAX00003441	JAX00003475	20	49091078	49537498	chr1	0.638208478862741	0.18	1.005
4081	4100	JAX00250074	JAX00250111	20	49539906	49892767	chr1	0.607633821022691	0.2	1.005
4101	4120	JAX00250113	JAX00003529	20	49926993	50292237	chr1	0.80706345647501	0.12	1.005
4121	4140	JAX00250174	UNC643528	20	50295786	50586920	chr1	0.716207614976244	0.175	1.005
4141	4160	JAX00003553	JAX00003577	20	50594847	50939202	chr1	0.662003659787045	0.175	1.005
4161	4180	JAX00003578	JAX00250311	20	50939267	51151906	chr1	0.514464499931153	0.27	1.005
4181	4200	JAX00250312	UNC653383	20	51154298	51299180	chr1	0.525093246137462	0.265	1.005
4201	4220	JAX00250369	JAX00250405	20	51315462	51464485	chr1	0.738966782176451	0.155	1.005
4221	4240	JAX00250406	JAX00250435	20	51464578	51590600	chr1	0.74183729665422	0.17	1.005
4241	4260	JAX00250437	UNC658850	20	51595982	51714316	chr1	0.698365199785874	0.175	1.005
4261	4280	JAX00003639	JAX00003646	20	51726997	51849214	chr1	0.655750777038328	0.195	1.005
4281	4300	JAX00250534	JAX00003654	20	51852461	51947557	chr1	0.63817867577202	0.19	1.005
4301	4320	JAX00250573	JAX00250618	20	51952563	52068374	chr1	0.591631118975124	0.205	1.005
4321	4340	JAX00250624	UNC667141	20	52076008	52184251	chr1	0.584840638069382	0.2	1.005
4341	4360	JAX00250656	JAX00250699	20	52189564	52327247	chr1	0.57263770817033	0.22	1.005
4361	4380	JAX00250701	JAX00250742	20	52328602	52481775	chr1	0.561622661274898	0.235	1.005
4381	4400	JAX00250743	UNC672230	20	52484176	52585228	chr1	0.543467529508278	0.245	1.005
4401	4420	JAX00250780	JAX00191698	20	52593892	52716799	chr1	0.432381693144857	0.355	1.005
4421	4440	UNC674249	JAX00250881	20	52717897	52965832	chr1	0.394712494720027	0.37	1.005
4441	4460	UNC677810	JAX00250912	20	52967901	53068244	chr1	0.475834636172324	0.325	1.005
4461	4480	JAX00003739	UNC681990	20	53091392	53356247	chr1	0.503693115666384	0.3	1.005
4481	4500	JAX00250964	JAX00251051	20	53356970	53813227	chr1	0.494023902707604	0.305	1.005
4501	4520	JAX00251055	JAX00251091	20	53845960	53961323	chr1	0.458381882107294	0.335	1.005
4521	4540	JAX00251092	UNC691648	20	53961472	54255170	chr1	0.388465301233094	0.415	1.005
4541	4560	JAX00003829	UNC694544	20	54274523	54504118	chr1	0.366264957867763	0.435	1.005
4561	4580	JAX00251173	JAX00003863	20	54505399	54724859	chr1	0.366569046870724	0.43	1.005
4581	4600	JAX00251226	JAX00191741	20	54725363	54826491	chr1	0.366255539068652	0.425	1.005
4601	4620	JAX00003873	JAX00251318	20	54850326	54934829	chr1	0.369196524820051	0.43	1.005
4621	4640	JAX00251320	JAX00251389	20	54955500	55279216	chr1	0.392902282008877	0.41	1.005
4641	4660	UNC705778	JAX00003921	20	55299497	55511621	chr1	0.392794457120538	0.405	1.005
4661	4680	UNC707616	JAX00251488	20	55517416	55709875	chr1	0.394138455764013	0.4	1.005
4681	4700	JAX00251489	UNC712273	20	55710796	55822831	chr1	0.406130978135671	0.385	1.005
4701	4720	JAX00003947	JAX00251594	20	55860075	55996468	chr1	0.406341022768116	0.385	1.005
4721	4740	JAX00251596	JAX00003975	20	55997684	56225427	chr1	0.406609876626677	0.385	1.005
4741	4760	JAX00251650	JAX00003990	20	56242871	56417978	chr1	0.42576782032716	0.36	1.005
4761	4780	UNC010729195	JAX00251752	20	56428647	56606748	chr1	0.4109330951268	0.395	1.005
4781	4800	JAX00251753	JAX00004018	20	56615257	56793551	chr1	0.41077955160266	0.395	1.005
4801	4820	JAX00251797	JAX00251852	20	56800843	56999465	chr1	0.346919996425959	0.455	1.005
4821	4840	backupUNC012316368	JAX00251888	20	57001168	57185299	chr1	0.300151184227161	0.51	1.005
4841	4860	JAX00251890	UNC010731340	20	57186046	57415420	chr1	0.297062196216976	0.505	1.005
4861	4880	JAX00191800	JAX00251979	20	57418523	57615336	chr1	0.249503133977294	0.58	1.005
4881	4900	JAX00004078	UNC733960	20	57615846	57735724	chr1	0.275293128154054	0.535	1.005
4901	4920	JAX00004092	JAX00252051	20	57774166	57974992	chr1	0.317193123010035	0.5	1.005
4921	4940	JAX00252053	JAX00252097	20	57977395	58227689	chr1	0.292439920799329	0.52	1.005
4941	4960	JAX00252101	JAX00004131	20	58236518	58297315	chr1	0.292939030944671	0.52	1.005
4961	4980	JAX00191815	JAX00004145	20	58324446	58506215	chr1	0.303898311376722	0.51	1.005
4981	5000	JAX00252169	JAX00252196	20	58506542	58673708	chr1	0.331667354287416	0.49	1.005
5001	5020	UNC746854	JAX00252247	20	58784987	59044207	chr1	0.372987258376194	0.435	1.005
5021	5040	JAX00004189	JAX00004202	20	59078431	59240364	chr1	0.419507502629365	0.39	1.005
5041	5060	UNC751654	JAX00191840	20	59245541	59401604	chr1	0.450836059465264	0.36	1.005
5061	5080	JAX00004214	JAX00252404	20	59414487	59496154	chr1	0.450576059151291	0.36	1.005
5081	5100	JAX00252405	JAX00004241	20	59501093	59780022	chr1	0.427778435099375	0.35	1.005
5101	5120	JAX00252465	JAX00252497	20	59805686	60024065	chr1	0.399935217522005	0.405	1.005
5121	5140	B6_rs3659238	JAX00252519	20	60046978	60241011	chr1	0.384020915219784	0.42	1.005
5141	5160	JAX00252521	JAX00004292	20	60256635	60441421	chr1	0.394420181190313	0.41	1.005
5161	5180	backupJAX00004293	JAX00252601	20	60441494	60673461	chr1	0.382895616124469	0.415	1.005
5181	5200	JAX00004309	JAX00252642	20	60673824	60916315	chr1	0.38359021928285	0.41	1.005
5201	5220	UNC771487	JAX00252702	20	60936977	61165787	chr1	0.384711491378634	0.415	1.005
5221	5240	UNC774504	JAX00004360	20	61184345	61368274	chr1	0.391903831801054	0.405	1.005
5241	5260	UNC776673	JAX00252791	20	61373519	61606448	chr1	0.40271263889778	0.405	1.005
5261	5280	JAX00004378	JAX00252821	20	61609576	61788884	chr1	0.54931416344807	0.26	1.005
5281	5300	JAX00252822	JAX00004414	20	61790117	62091075	chr1	0.539146522476993	0.32	1.005
5301	5320	JAX00252865	UNC787219	20	62112614	62377587	chr1	0.536180300091936	0.3	1.005
5321	5340	backupUNC010739171	JAX00252933	20	62387583	62660493	chr1	0.529999205630991	0.29	1.005
5341	5360	JAX00004458	JAX00004467	20	62661425	62772488	chr1	0.430792800753383	0.36	1.005
5361	5380	JAX00252953	UNC793417	20	62788218	62964123	chr1	0.382548238459741	0.445	1.005
5381	5400	UNC793779	JAX00004502	20	62993822	63253832	chr1	0.279913924117552	0.575	1.005
5401	5420	JAX00253027	JAX00004520	20	63284903	63499605	chr1	0.176479431388714	0.72	1.005
5421	5440	UNC010104462	JAX00191937	20	63505054	63750621	chr1	0.200661779243682	0.68	1.005
5441	5460	UNC801098	UNC010486741	20	63774007	64043833	chr1	0.198102316326421	0.685	1.005
5461	5480	JAX00253171	JAX00253207	20	64046058	64158503	chr1	0.185274729168103	0.7	1.005
5481	5500	JAX00253211	JAX00253241	20	64183849	64320423	chr1	0.190190537685834	0.685	1.005
5501	5520	JAX00004582	UNC809041	20	64334183	64515184	chr1	0.191323654991154	0.685	1.005
5521	5540	JAX00004599	JAX00253315	20	64550813	64699289	chr1	0.18257478934829	0.68	1.005
5541	5560	UNC010106429	JAX00253348	20	64704407	64924557	chr1	0.167375867998907	0.7	1.005
5561	5580	UNC813782	JAX00253405	20	64926042	65186023	chr1	0.163567319683246	0.71	1.005
5581	5600	UNC817280	JAX00253461	20	65191919	65332226	chr1	0.150133604383811	0.71	1.005
5601	5620	JAX00004659	UNC822740	20	65334144	65637894	chr1	0.152122871039464	0.72	1.005
5621	5640	JAX00253508	JAX00253537	20	65679605	65947573	chr1	0.17334722762991	0.71	1.005
